TVS Motor Company	Consumer goods	Automobiles	Chennai	1978	Motorcycles
UCO Bank	Financials	Banks	Kolkata	1943	State bank
UltraTech Cement	Industrials	Building materials & fixtures	Mumbai	1983	Cement
Union Bank of India	Financials	Banks	Mumbai	1919	State bank
Unitech Group	Financials	Real estate holding & development	New Delhi	1972	Real estate development
United Breweries Group	Conglomerate	-	Bengaluru	1857	Food & beverage, engineering, financials
V-Guard Industries	Consumer goods	Durable household products	Kochi	1977	Appliances
VA Tech Wabag	Utilities	Water	Chennai	1924	Water treatment
Vadilal	Conglomerate	-	Ahmedabad	1907	Chemicals, food & beverage, financials
Vedanta Limited	Basic materials	General mining	New Delhi	1979	Mining, part of Vedanta Resources (UK)
Vicco Group	Health care	Pharmaceuticals	Mumbai	1952	Alternative medicines
Videocon	Conglomerate	-	Mumbai	1979	Industrials, consumer goods, oil & gas
Vijaya Bank	Financials	Banks	Bengaluru	1931	State bank
VIP Industries	Consumer goods	Recreational products	Mumbai	1971	Luggage
Visaka Industries	Industrials	Industrial machinery	Secunderabad[9]	1983	Machinery
Visakhapatnam Steel Plant	Basic materials	Iron & steel	Visakhapatnam	1971	Steel
Voltas	Consumer goods	Consumer electronics	Mumbai	1954	Home appliances
Voonik	Consumer services	Broadline retailers	Bengaluru	2013	Online marketplace
VST Industries	Consumer goods	Tobacco	Hyderabad	1930	Tobacco
Wadia Group	Conglomerate	-	Mumbai	1736	Chemicals, industrials
Walchandnagar Industries	Industrials	Diversified industrials	Mumbai	1908	Defense, energy, transportation
Welspun Corp	Industrials	General industry	Mumbai	1995	Pipes, part of Welspun Group
Welspun Group	Conglomerate	-	Mumbai	1985	Steel, energy, oil & gas
Welspun India	Consumer goods	Clothing & accessories	Mumbai	1985	Clothing, textiles, part of Welspun Group
Welspun Syntex	Consumer goods	Clothing & accessories	Mumbai	1982	Yarn manufacturing, part of Welspun Group
West Bengal Electronics Industry Development Corporation (WEBEL)	Industrials	Electrical components & equipment	Kolkata	1974	Capacitors, driven equipment, picture tubes, telephone exchanges
West Bengal Power Development Corporation	Utilities	Conventional electricity	Kolkata	1985	Power generation
West Bengal State Coop Bank	Financials	Banks	Kolkata	1918	State bank
West Bengal State Electricity Distribution Company	Utilities	Conventional electricity	Kolkata	2007	State utility
West Bengal State Electricity Transmission Company	Utilities	Conventional electricity	Kolkata	2007	State utility
Wipro	Industrials	Business support services	Bengaluru	1945	Consulting, BPO
XOLO	Technology	Telecommunications equipment	Noida	2012	Mobile handsets
Yatra	Consumer services	Travel & tourism	Gurugram	2006	Travel agency
Yebhi	Consumer services	Broadline retailers	Gurugram	2009	Online retailer
Yepme	Consumer services	Broadline retailers	Gurugram	2011	Online retailer
Yes Bank	Financials	Banks	Mumbai	2004	Private bank
Zandu Realty	Health care	Pharmaceuticals	Mumbai	1910	Alternative medicines
Zee Entertainment Enterprises	Consumer services	Broadcasting & entertainment	Mumbai	1992	Broadcaster
Zee News	Consumer services	Broadcasting & entertainment	Mumbai	1999	News channel
Zensar Technologies	Technology	Software	Pune	1991	IT services and software
Zerodha	Financials	Investment services	Bangalore	2010	Broker
Zoho Corporation	Technology	Software	Chennai	1996	Business management software
Zomato	Technology	Internet	Gurugram	2008	Search
